     P      RSQ    RSQ_A        SSE        MSE           Cp          BIC     Variables In
1    2   0.3227   0.3226   13228890   308.4376    3369.6786   -16688.981    no2          
2    2   0.2548   0.2548   14554357   339.3415    8004.4608   -12593.339    so2          
3    2   0.2047   0.2047   15533047   362.1601   11426.6610    -9801.954    co           
4    3   0.3665   0.3665   12371890   288.4630     374.9921   -19551.055    no2 so2      
5    3   0.3467   0.3467   12758664   297.4810    1727.4309   -18230.684    no2 co       
6    3   0.3250   0.3250   13183647   307.3899    3213.4768   -16825.257    no2 o3       
7    4   0.3719   0.3718   12267633   286.0388      12.4358   -19903.367    no2 so2 co   
8    4   0.3667   0.3666   12369169   288.4063     367.4768   -19549.823    no2 o3 so2   
9    4   0.3665   0.3665   12371868   288.4692     376.9131   -19540.467    ws no2 so2   
10   5   0.3720   0.3719   12265233   285.9895       6.0435   -19901.092    ws no2 so2 co
11   5   0.3719   0.3718   12267470   286.0417      13.8648   -19893.271    no2 o3 so2 co
12   5   0.3667   0.3666   12368962   288.4082     368.7532   -19539.875    ws no2 o3 so2
